entry_time,city,ticker,market_structure,threshold_direction,threshold,bucket_lower,bucket_upper,market_date,side,entry_price,modeled_yes_probability,modeled_side_probability,trade_edge,confidence,forecasted_high,exit_price,realized_pnl,settled
2026-04-15T00:03:02.884Z,nyc,KXHIGHNY-26APR14-B83.5,bucket_range,,,83,84,2026-04-14,YES,0.01,0.09678560355606775,0.09678560355606775,0.056785603556067744,0.8249999999999998,86,0,-0.1,true
2026-04-15T00:03:02.884Z,nyc,KXHIGHNY-26APR14-B85.5,bucket_range,,,85,86,2026-04-14,YES,0.01,0.15542169284808915,0.15542169284808915,0.11542169284808915,0.8249999999999998,86,0,-0.1,true
2026-04-15T00:03:02.884Z,nyc,KXHIGHNY-26APR15-B89.5,bucket_range,,,89,90,2026-04-15,NO,0.54,0.060270443729386614,0.9397295562706134,0.3697295562706133,0.8249999999999998,86,0,-5.4,true
2026-04-15T00:03:02.884Z,nyc,KXHIGHNY-26APR14-T79,binary_threshold,less,79,,,2026-04-14,YES,0.01,0.9974448092506896,0.9974448092506896,0.9574448092506895,0.9999999999999999,86,0,-0.1,true
2026-04-15T00:03:02.884Z,nyc,KXHIGHNY-26APR14-T86,binary_threshold,greater,86,,,2026-04-14,NO,0.01,0.49999999949999996,0.5000000005,0.46000000050000006,0.72,86,0,-0.1,true
2026-04-15T00:03:02.884Z,nyc,KXHIGHNY-26APR15-B87.5,bucket_range,,,87,88,2026-04-15,NO,0.74,0.13272296906186787,0.8672770309381321,0.09727703093813211,0.8249999999999998,86,1,2.6,true
2026-04-15T00:03:02.884Z,nyc,KXHIGHNY-26APR15-T83,binary_threshold,less,83,,,2026-04-15,YES,0.02,0.8849302649660247,0.8849302649660247,0.8349302649660246,0.8949999999999999,86,0,-0.2,true
2026-04-15T00:03:02.884Z,nyc,KXHIGHNY-26APR15-T90,binary_threshold,greater,90,,,2026-04-15,NO,0.8,0.054799291304588715,0.9452007086954113,0.11520070869541121,0.8949999999999999,86,1,1.9999999999999996,true
2026-04-15T00:03:02.884Z,nyc,KXHIGHNY-26APR15-B85.5,bucket_range,,,85,86,2026-04-15,YES,0.07,0.15542169284808915,0.15542169284808915,0.05542169284808915,0.8249999999999998,86,0,-0.7000000000000001,true
2026-04-15T14:03:03.690Z,nyc,KXHIGHNY-26APR16-B86.5,bucket_range,,,86,87,2026-04-16,NO,0.83,0.06364450921385217,0.9363554907861478,0.07635549078614778,0.8249999999999998,89.9,1,1.7000000000000004,true
2026-04-15T14:03:03.690Z,nyc,KXHIGHNY-26APR16-T84,binary_threshold,less,84,,,2026-04-16,YES,0.08,0.9908625480194415,0.9908625480194415,0.8808625480194415,0.98,89.9,0,-0.8,true
2026-04-15T14:03:03.690Z,nyc,KXHIGHNY-26APR16-B88.5,bucket_range,,,88,89,2026-04-16,NO,0.78,0.1357964040464713,0.8642035959535287,0.05420359595352864,0.8249999999999998,89.9,0,-7.800000000000001,true
2026-04-15T14:10:04.347Z,nyc,KXHIGHNY-26APR16-T91,binary_threshold,greater,91,,,2026-04-16,YES,0.17,0.329968584232615,0.329968584232615,0.12996858423261498,0.67,89.9,0,-1.7000000000000002,true
2026-04-15T14:10:04.347Z,nyc,KXHIGHNY-26APR16-B90.5,bucket_range,,,90,91,2026-04-16,NO,0.74,0.15407791696274975,0.8459220830372502,0.07592208303725023,0.8249999999999998,89.9,1,2.6,true
2026-04-15T14:43:03.254Z,nyc,KXHIGHNY-26APR16-B84.5,bucket_range,,,84,85,2026-04-16,NO,0.88,0.01725846793681185,0.9827415320631882,0.07274153206318812,0.8249999999999998,89.8,,,false
2026-04-16T14:10:04.674Z,nyc,KXHIGHNY-26APR17-T77,binary_threshold,less,77,,,2026-04-17,YES,0.06,0.9999997668513574,0.9999997668513574,0.9099997668513574,0.9999999999999999,89.6,0,-0.6,true
2026-04-16T14:10:04.674Z,nyc,KXHIGHNY-26APR17-B77.5,bucket_range,,,77,78,2026-04-17,NO,0.8,0.0000015107863976515645,0.9999984892136023,0.16999848921360228,0.8049999999999999,89.6,1,1.9999999999999996,true
2026-04-16T14:13:05.139Z,nyc,KXHIGHNY-26APR17-B83.5,bucket_range,,,83,84,2026-04-17,NO,0.87,0.008400078737133665,0.9915999212628663,0.09159992126286631,0.7749999999999999,89.6,1,1.3,true
2026-04-16T14:13:05.139Z,nyc,KXHIGHNY-26APR17-T84,binary_threshold,greater,84,,,2026-04-17,YES,0.13,0.9874545792730034,0.9874545792730034,0.8274545792730034,0.98,89.6,0,-1.3,true
2026-04-16T14:13:05.139Z,nyc,KXHIGHNY-26APR17-B81.5,bucket_range,,,81,82,2026-04-17,NO,0.75,0.0008920541200247989,0.9991079458799752,0.21910794587997517,0.8249999999999998,89.6,0,-7.5,true
2026-04-16T14:13:05.139Z,nyc,KXHIGHNY-26APR17-B79.5,bucket_range,,,79,80,2026-04-17,NO,0.75,0.00005035598671448982,0.9999496440132856,0.21994964401328554,0.8249999999999998,89.6,1,2.5,true
2026-04-17T11:33:03.899Z,nyc,KXHIGHNY-26APR15-B83.5,bucket_range,,,83,84,2026-04-15,YES,0.01,0.12951444056962058,0.12951444056962058,0.08951444056962057,0.7249999999999999,81.9,0,-0.1,true
2026-04-17T14:03:04.442Z,nyc,KXHIGHNY-26APR18-T61,binary_threshold,less,61,,,2026-04-18,YES,0.04,0.9999999999879876,0.9999999999879876,0.9299999999879875,0.98,77.7,0,-0.4,true
2026-04-17T14:10:04.804Z,nyc,KXHIGHNY-26APR18-T68,binary_threshold,greater,68,,,2026-04-18,YES,0.42,0.9999477516141244,0.9999477516141244,0.5499477516141245,0.98,77.7,0,-4.2,true
2026-04-17T14:10:04.804Z,nyc,KXHIGHNY-26APR18-B65.5,bucket_range,,,65,66,2026-04-18,NO,0.74,0.000001246961573275751,0.9999987530384267,0.22999875303842665,0.8249999999999998,77.7,0,-7.4,true
2026-04-17T14:13:04.312Z,nyc,KXHIGHNY-26APR18-B63.5,bucket_range,,,63,64,2026-04-18,NO,0.9,1.925980980255204e-8,0.9999999807401903,0.0699999807401902,0.8249999999999998,77.7,1,0.9999999999999998,true
2026-04-17T14:20:04.660Z,nyc,KXHIGHNY-26APR18-B67.5,bucket_range,,,67,68,2026-04-18,NO,0.74,0.00004289720287686816,0.9999571027971231,0.22995710279712311,0.8049999999999999,77.7,1,2.6,true
2026-04-18T04:03:04.317Z,nyc,KXHIGHNY-26APR18-B61.5,bucket_range,,,61,62,2026-04-18,YES,0.03,0.1261840875946188,0.1261840875946188,0.0661840875946188,0.8249999999999998,63.2,0,-0.3,true
2026-04-18T14:03:04.289Z,nyc,KXHIGHNY-26APR19-T61,binary_threshold,greater,61,,,2026-04-19,YES,0.13,0.7995458563370064,0.7995458563370064,0.6395458563370063,0.7899999999999999,63.1,0,-1.3,true
2026-04-18T14:03:04.289Z,nyc,KXHIGHNY-26APR19-T54,binary_threshold,less,54,,,2026-04-19,YES,0.5,0.999863646605372,0.999863646605372,0.46986364660537194,0.9999999999999999,63.1,1,5,true
2026-04-18T14:10:04.606Z,nyc,KXHIGHNY-26APR19-B56.5,bucket_range,,,56,57,2026-04-19,NO,0.82,0.005087892756303558,0.9949121072436964,0.1449121072436964,0.8249999999999998,63.1,1,1.8000000000000005,true
2026-04-18T14:20:04.547Z,nyc,KXHIGHNY-26APR19-B54.5,bucket_range,,,54,55,2026-04-19,NO,0.77,0.00046135715142048284,0.9995386428485795,0.19953864284857947,0.7749999999999999,63.1,1,2.3,true
2026-04-19T14:10:04.581Z,nyc,KXHIGHNY-26APR20-B55.5,bucket_range,,,55,56,2026-04-20,NO,0.85,0.018750163428735145,0.9812498365712649,0.10124983657126485,0.8249999999999998,50.3,,,false
2026-04-19T15:13:05.055Z,nyc,KXHIGHNY-26APR20-B53.5,bucket_range,,,53,54,2026-04-20,NO,0.82,0.09296637843551259,0.9070336215644874,0.057033621564487436,0.8249999999999998,50.9,1,1.8000000000000005,true
2026-04-19T15:30:07.729Z,nyc,KXHIGHNY-26APR20-B51.5,bucket_range,,,51,52,2026-04-20,NO,0.68,0.15407791696274942,0.8459220830372506,0.1359220830372505,0.7749999999999999,50.9,0,-6.800000000000001,true
2026-04-19T16:33:04.621Z,nyc,KXHIGHNY-26APR20-T51,binary_threshold,less,51,,,2026-04-20,YES,0.48,0.712260312809939,0.712260312809939,0.20226031280993895,0.69,52.4,0,-4.8,true
2026-04-20T14:10:05.161Z,nyc,KXHIGHNY-26APR21-T51,binary_threshold,less,51,,,2026-04-21,YES,0.23,0.3594236296473933,0.3594236296473933,0.09942362964739326,0.72,50.1,,,false
2026-04-20T14:10:05.161Z,nyc,KXHIGHNY-26APR21-B53.5,bucket_range,,,53,54,2026-04-21,NO,0.7,0.06364450921385234,0.9363554907861477,0.20635549078614768,0.8249999999999998,50.1,,,false
2026-04-20T14:13:05.526Z,nyc,KXHIGHNY-26APR21-B55.5,bucket_range,,,55,56,2026-04-21,NO,0.82,0.01586037412766539,0.9841396258723346,0.13413962587233463,0.7749999999999999,50.1,,,false
2026-04-20T14:30:07.432Z,nyc,KXHIGHNY-26APR21-B51.5,bucket_range,,,51,52,2026-04-21,NO,0.68,0.14870084152791452,0.8512991584720855,0.1412991584720854,0.8049999999999999,50.6,,,false
2026-04-21T14:10:05.119Z,nyc,KXHIGHNY-26APR22-B57.5,bucket_range,,,57,58,2026-04-22,NO,0.72,0.02982747565651267,0.9701725243434873,0.22017252434348733,0.8249999999999998,52.9,,,false
2026-04-21T14:20:05.079Z,nyc,KXHIGHNY-26APR22-T57,binary_threshold,less,57,,,2026-04-22,NO,0.5,0.05050257101665889,0.9494974289833411,0.4194974289833411,0.8949999999999999,52.9,,,false
2026-04-21T14:23:04.197Z,nyc,KXHIGHNY-26APR22-B59.5,bucket_range,,,59,60,2026-04-22,NO,0.88,0.005087892756303503,0.9949121072436965,0.08491210724369647,0.8249999999999998,52.9,,,false
2026-04-22T12:33:03.402Z,nyc,KXHIGHNY-26APR20-T58,binary_threshold,greater,58,,,2026-04-20,YES,0.01,0.1230244616624444,0.1230244616624444,0.0830244616624444,0.855,55.1,,,false
2026-04-22T12:33:03.402Z,nyc,KXHIGHNY-26APR20-B57.5,bucket_range,,,57,58,2026-04-20,YES,0.01,0.10060276393847722,0.10060276393847722,0.060602763938477223,0.7849999999999999,55.1,,,false
2026-04-22T14:03:06.002Z,nyc,KXHIGHNY-26APR23-B74.5,bucket_range,,,74,75,2026-04-23,NO,0.89,4.343652104665807e-10,0.9999999995656348,0.07999999956563475,0.8249999999999998,58.7,,,false
